id_parada,fecha_operacion,tiempo_operacion_h,unidades_producidas,defectos_unidades,temperatura_promedio_c,velocidad_real_u_h,causa_parada,criticidad,duracion_parada_min,costo_parada_soles,observacion,turnos_nombre,turnos_supervisor,turnos_hora_inicio,turnos_hora_fin,procesos_nombre,procesos_familia,procesos_temperatura_objetivo_c,procesos_velocidad_objetivo_u_h,maquinas_nombre,maquinas_linea,maquinas_tipo_maquina,maquinas_antiguedad_anios
12,2026-02-02, 5.71 ,1138,13,151.95,264.6,CaMbIo dE FoRmAtO,Media,43.38,1407.02,,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,prensa 02,Linea A,Prensado,6.78
13,2026-06-18,7.57,5472,20,17.36,,Ajuste de calidad,Baja,19.55,766.72 aprox,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Etiquetadora 06,Linea C,Etiquetado,2.46
14, 2026-05-28 ,11.39,4018,17,73.25,"437,87",LiMpIeZa nO PrOgRaMaDa,Media,30.48,1074.51,,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Etiquetadora 06,Linea C,Etiquetado,2.46
15,2026-01-27,8.82,4114,12,,504.96,Falla mecanica,MeDiA,53.7,1144.2 aprox,OK,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Llenadora 07,Linea D,Llenado,5.65
16,2026-01-24,8.18,5404,18,29.95,804.89,  Falla electrica ,Alta,65.52,1789.75,Revisar sensor,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,prensa 02,Linea A,Prensado,6.78
17,2026-03-15,8.84,5986,19,19.26,774.46,Espera de operador,Baja,41.04,1233.07,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Horno 05,linea c,TeRmIcO,10.14
18,2026-02-10,"10,6",7109,14,19.17,690.13,Limpieza no programada,Baja,41.98, 948.73 ,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Empacadora 04,Linea B,Empaque,3.64
19,2026-06-25,3.16,776,22,25.33,293.79,Limpieza no programada,MeDiA,43.9,1444.78,,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Mezcladora 01,Linea A,Mezclado,4.18
20, 2026-04-08 ,9.1,2762,12,76.36,395.56,MANTENIMIENTO CORRECTIVO,Media,49.19,1139.77,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Cortadora 03,Linea B,Corte,5.06
21,2026-06-20,4.52,2289,10,36.04,557.41,Cambio de formato,Media,42.66,1112.86,Revisar sensor,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,prensa 02,Linea A,Prensado,6.78
22,2026-06-23,5.24,1527,13,39.08,398.41,cambio de formato,Media,44.04,1347.47,Validar causa,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,prensa 02,Linea A,Prensado,6.78
23,2026-04-07,10.5,2042,19,,243.75,Espera de operador,CRITICA, 85.07 ,,,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Selladora 08,Linea D,Sellado,7.96
24,06/01/2026,10.78,2348,23,78.7,319.53,Espera de operador,Media,34.69,917.48,Revisar sensor,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Cortadora 03,Linea B,Corte,5.06
25,2026-01-27,10.39,1684,17,158.49,197.82,Cambio de formato,Media,35.96,1166.01,,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Mezcladora 01,Linea A,Mezclado,4.18
26,2026-03-26,4.12 aprox,2334,26,16.06,760.91,Espera  de  operador,Alta,52.85,1302.05,,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Empacadora 04,Linea B,Empaque,3.64
27,2026-03-10,10.25,4241,30,44.6,470.28,Falla mecanica,Baja,44.89,1192.94,,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,prensa 02,Linea A,Prensado,6.78
28,2026-01-16,7.77,4052,11, 28.17 ,603.32,Espera de operador,Baja,40.03,953.05,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Horno 05,linea c,TeRmIcO,10.14
29,2026-06-22,8.77,1776,33,167.23 aprox,220.89,Falla electrica,Baja,51.01,1577.8,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Selladora 08,Linea D,Sellado,7.96
30,2026-01-07,4.47,1558,24,25.53,364.24,,Media,38.85,1131.25,Validar causa,Manana,Ana Torres,06:00,14:00,Control de calidad,CaLiDaD,23.0,350.0,Horno 05,linea c,TeRmIcO,10.14
31, 2026-03-22 ,2.57, 1023 ,14, 22.81 ,523.08,Espera de operador,ALTA,47.06,1270.18,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Llenadora 07,Linea D,Llenado,5.65
32,2026-02-22,2.34,469,21,35.7,264.87,Falla electrica,alta,55.04,1406.72,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Selladora 08,Linea D,Sellado,7.96
33,2026-03-10,10.25,4241,30,44.6,470.28,Falla mecanica,Baja,44.89,1192.94,,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,prensa 02,Linea A,Prensado,6.78
34,,8.46,2009,11,149.25,244.31,Falla electrica,Media, 67.54 ,"1861,48",,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,prensa 02,Linea A,Prensado,6.78
35,2026-04-25,"2,83",813,19,43.35,426.77,Falta de insumo,Baja,40.5,1538.69,Revisar sensor,Noche,Diana Flores,22:00,06:00,Preparacion de insumo,Preparacion,45.0,520.0,Llenadora 07,Linea D,Llenado,5.65
36,2026-03-04,,1245,20,64.11,299.99,LiMpIeZa nO PrOgRaMaDa,MeDiA,38.72,1256.95,Revisar sensor,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Selladora 08,Linea D,Sellado,7.96
37,2026-06-21,2.31,802,23,16.33,506.58,Cambio de formato,Media,53.8 aprox,S/ 1364.69,OK,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,prensa 02,Linea A,Prensado,6.78
38,2026-04-10,,1137,23,74.27,310.38,Falla electrica,Media,48.71,1515.04,Revisar sensor,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Mezcladora 01,Linea A,Mezclado,4.18
39,2026-02-25,11.3,2120,31,29.7,253.04,ESPERA DE OPERADOR,Media,44.18,1204.72,,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Selladora 08,Linea D,Sellado,7.96
40,02/03/2026,7.12,2408,29,38.51,464.15,LIMPIEZA NO PROGRAMADA,Media,60.13,2046.25,,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,Horno 05,linea c,TeRmIcO,10.14
41,2026-01-08,2.97,934,7,"47,09",400.29,Ajuste de calidad,MEDIA,40.52,1287.62,OK,Noche,Diana Flores,22:00,06:00,Preparacion de insumo,Preparacion,45.0,520.0,Empacadora 04,Linea B,Empaque,3.64
42,2026-06-04,"10,94",,30,49.17,664.05,Mantenimiento correctivo,Media,"69,02",,,Manana,Ana Torres,06:00,14:00,Corte de piezas,transformacion,38.0,620.0,Horno 05,linea c,TeRmIcO,10.14
43,21-03-2026,"3,83",736,15,20.23,293.74,Falla mecanica,Alta,65.97,1641.96,Revisar sensor,Manana,Ana Torres,06:00,14:00,Control de calidad,CaLiDaD,23.0,350.0,prensa 02,Linea A,Prensado,6.78
44,2026-02-07,4.92,1218,23,20.41, 254.25 ,Espera de operador,Baja,31.85, 961.9 ,,Tarde,Luis Ramos,14:00,22:00,Control de calidad,CaLiDaD,23.0,350.0,prensa 02,Linea A,Prensado,6.78
45,2026-04-28,3.44,1146,21,23.88,506.27,Espera de operador,Media,51.89,1485.48,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Horno 05,linea c,TeRmIcO,10.14
46,2026-05-10, 10.17 ,4320,23,28.3,615.87,Cambio  de  formato,Media,41.16,1146.32,OK,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Selladora 08,Linea D,Sellado,7.96
47,2026-02-20,10.15,4039,9,36.04,529.81,FALLA ELECTRICA,Media,59.68,1803.38,OK,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Etiquetadora 06,Linea C,Etiquetado,2.46
48,2026-02-20,10.15,4039,9,36.04,529.81,FALLA ELECTRICA,Media,59.68,1803.38,OK,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Etiquetadora 06,Linea C,Etiquetado,2.46
49,2026-04-17,7.1,2990,28,36.54 aprox, 640.17 ,Falta de insumo,Media,51.65,,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,Etiquetadora 06,Linea C,Etiquetado,2.46
50,2026-05-20,5.92,1991,13,39.09,,Falla mecanica,Media,49.09,1367.13,,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,Empacadora 04,Linea B,Empaque,3.64
51,2026-04-18,6.2,1563,25, 146.73 ,270.94,Falla electrica,Alta,88.75,2035.74,,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Selladora 08,Linea D,Sellado,7.96
52,2026-04-22,2.57, 857 ,7,44.61,502.14,Falla mecanica,,42.36,1057.23,,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,prensa 02,Linea A,Prensado,6.78
53,,2.55,389,28,18.52,221.61,Cambio  de  formato,critica,76.28,3226.97,,Noche,Diana Flores,22:00,06:00,Enfriamiento controlado,Termico,30.0,300.0,Mezcladora 01,Linea A,Mezclado,4.18
54,,11.09,6311,34,29.49 aprox,777.6,Cambio de formato,Alta,54.11,1189.8,,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Horno 05,linea c,TeRmIcO,10.14
55,2026-06-18,,1837,34,78.15,393.98,Falla mecanica,Media,47.18,1231.21 aprox,,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,prensa 02,Linea A,Prensado,6.78
56,2026-05-04,2.63,1789,15,21.3,745.15,Mantenimiento correctivo,BaJa,42.79,1294.23,Validar causa,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,Cortadora 03,Linea B,Corte,5.06
57,2026-05-18,5.56,1413,20,32.44,267.36,Espera de operador,Alta,60.81,1611.36,OK,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Llenadora 07,Linea D,Llenado,5.65
58,2026-05-02,5.99, 3675 ,31,30.85,775.0,Ajuste de calidad,Media,59.37,"1875,98",,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Cortadora 03,Linea B,Corte,5.06
59,2026-06-27,8.99,2164,25, 31.09 ,326.24 aprox,Ajuste de calidad,Media,66.3,2336.18,,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Mezcladora 01,Linea A,Mezclado,4.18
60,2026-03-14,"3,58",1475,19 aprox,16.78,621.03,cambio de formato,  Alta ,"59,02",1531.31,Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Empacadora 04,Linea B,Empaque,3.64
61,2026-04-25,8.92,2457,27,31.43,325.47,Falla mecanica,Media,61.43,1535.91,Revisar sensor,Manana,Ana Torres,06:00,14:00,Control de calidad,CaLiDaD,23.0,350.0,Selladora 08,Linea D,Sellado,7.96
62,2026-02-01,6.24,1862,10,70.47,322.76,Espera de operador,Alta,44.75,1274.57,ok,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Empacadora 04,Linea B,Empaque,3.64
63,2026-02-04,7.04,3851,17,25.7,706.63,Ajuste de calidad,Media,52.31,1821.99,Revisar sensor,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,Etiquetadora 06,Linea C,Etiquetado,2.46
64,2026-02-01,4.98, 1247 ,14,23.22,282.72,Falla mecanica,Baja,51.48,1417.45,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Control de calidad,CaLiDaD,23.0,350.0,Selladora 08,Linea D,Sellado,7.96
65,2026-04-18,6.2,1563,25, 146.73 ,270.94,Falla electrica,Alta,88.75,2035.74,,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Selladora 08,Linea D,Sellado,7.96
66,28/01/2026,2.98,1103,19,19.41,536.77,Mantenimiento correctivo,Alta,69.2,"2065,66",Revisar sensor,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,prensa 02,Linea A,Prensado,6.78
67,2026-05-27,9.33,2487,21,37.67,322.04,Espera  de  operador,,51.12,1568.57,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,prensa 02,Linea A,Prensado,6.78
68,2026-03-20,9.57,3274,11,44.83,454.07,Espera de operador,Media,37.53,984.5,,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,prensa 02,Linea A,Prensado,6.78
69,2026-03-09,9.31,1392,29,148.53 aprox,183.66,Falla mecanica,Media,"46,93",1166.38,OK,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Mezcladora 01,Linea A,Mezclado,4.18
70,2026-04-15,10.88,3192, 19 ,72.31,327.86,Falla electrica,MEDIA,55.17,1432.73,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Moldeado inicial,Transformacion,70.0,410.0,Selladora 08,Linea D,Sellado,7.96
71,2026-06-14,5.63,1669,20,77.6,307.52,Limpieza no programada,Media,37.63,1301.28,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Etiquetadora 06,Linea C,Etiquetado,2.46
72,2026-05-19,4.0,2646,20,27.97,713.35,Falta de insumo,Baja, 43.68 , 1135.63 ,,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Selladora 08,Linea D,Sellado,7.96
73,2026-03-18,7.43,4008,11,22.14,752.39,Falta de insumo,Baja, 25.88 ,834.88,,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Mezcladora 01,Linea A,Mezclado,4.18
74,2026-01-28,2.42,,17,29.05,515.22,Espera de operador,Critica,177.54,7042.6,,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Cortadora 03,Linea B,Corte,5.06
75,2026-03-17,5.73 aprox,3199, 14 ,"21,69",714.36,Ajuste de calidad,Media,50.07,1224.49,,Manana,Ana Torres,06:00,14:00,Empaque primario,Empaque,24.0,720.0,Mezcladora 01,Linea A,Mezclado,4.18
76,2026-01-10,"10,61",1451,7,154.82,199.11,Limpieza no programada,Baja,29.14,,OK,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Etiquetadora 06,Linea C,Etiquetado,2.46
77,2026-04-14,9.69,6845,29,14.2,925.44,Ajuste de calidad,baja,62.15,1858.27,Revisar sensor,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Selladora 08,Linea D,Sellado,7.96
78,2026-04-05,5.54,1093,18,152.32,231.08,falta de insumo,CRITICA,67.64,3199.35,,Manana,Ana Torres,06:00,14:00,Tratamiento termico,Termico,155.0,260.0,Cortadora 03,Linea B,Corte,5.06
79,2026-06-12,6.78,1603,23,"17,68",355.71,,Media, 45.25 ,1577.17,,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Mezcladora 01,Linea A,Mezclado,4.18
80,2026-06-07,2.45,2001,23,27.17,926.5,Mantenimiento correctivo,Media,53.23,1827.98,Revisar sensor,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Horno 05,linea c,TeRmIcO,10.14
81,2026-05-21,7.73,3062,36,51.86,556.75,Falla electrica,Media,65.99,1481.58,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Corte de piezas,transformacion,38.0,620.0,Llenadora 07,Linea D,Llenado,5.65
82,24-04-2026,"8,82",3897,22,45.54,524.14,Mantenimiento correctivo,Media,64.45,1919.72,Atencion mantenimiento,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Horno 05,linea c,TeRmIcO,10.14
83,22-02-2026,5.01,1976,23,47.33,523.35,Limpieza no programada,Media, 35.59 ,840.92,Validar causa,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,Etiquetadora 06,Linea C,Etiquetado,2.46
84,2026-03-04,6.29,2156,14,45.15,490.26,Limpieza no programada,Media, 35.82 ,1260.79,,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,prensa 02,Linea A,Prensado,6.78
85,2026/03/26,4.6,2336 aprox,27,27.93,647.15,Ajuste de calidad,Alta,71.57,2490.17,Validar causa,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Horno 05,linea c,TeRmIcO,10.14
86,2026-03-25,7.66,2815,18,76.58,403.54,Falta de insumo,alta, 55.31 ,1920.43,OK,Noche,Diana Flores,22:00,06:00,Moldeado inicial,Transformacion,70.0,410.0,Cortadora 03,Linea B,Corte,5.06
87,2026-01-21,9.14,3081,15,44.8,437.69,Limpieza no programada,Media,46.52,"1083,33",VALIDAR CAUSA,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,Horno 05,linea c,TeRmIcO,10.14
88,2026-01-18,8.37,5621,26,17.39,753.84,Falla electrica,Baja,51.07,1859.54,Validar causa,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Selladora 08,Linea D,Sellado,7.96
89,2026-06-07, 8.39 ,2636,8,47.27,431.28,Falla mecanica,Alta,52.38,1192.44,,Noche,Diana Flores,22:00,06:00,Preparacion de insumo,Preparacion,45.0,520.0,Mezcladora 01,Linea A,Mezclado,4.18
90,2026-05-07,10.91,1940,32,161.79,226.28,  Mantenimiento correctivo ,Media,58.18,1864.36,OK,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Empacadora 04,Linea B,Empaque,3.64
91,2026-06-19,7.24, 3918 ,19,17.55,692.09,,Baja,50.53,1718.59,ReViSaR SeNsOr,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,prensa 02,Linea A,Prensado,6.78
92,2026-02-10,9.74,2139,19,149.89,225.67,Falla electrica,Alta,60.29,,,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Horno 05,linea c,TeRmIcO,10.14
93,2026-05-13,6.71,3746,11 aprox,28.0,773.44,Falla electrica,Critica,76.94,2410.71,OK,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Mezcladora 01,Linea A,Mezclado,4.18
94,2026-02-10,2.49,1319,27,18.41,738.21,Falta de insumo,MEDIA,50.22,1314.54,,Tarde,Luis Ramos,14:00,22:00,Empaque primario,Empaque,24.0,720.0,Selladora 08,Linea D,Sellado,7.96
95,2026-06-10,9.73,2023, 30 ,32.62,258.23,Ajuste de calidad,Media,48.65,1159.28,OK,Manana,Ana Torres,06:00,14:00,Control de calidad,CaLiDaD,23.0,350.0,Horno 05,linea c,TeRmIcO,10.14
96,2026-06-08,6.34,1266,14,22.68,251.55,Falla mecanica,Baja,26.82,811.47,,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Llenadora 07,Linea D,Llenado,5.65
97,2026-06-08,6.57,2634,20 aprox,32.24,551.52,Limpieza no programada,Baja,"28,3",988.56,OK,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Selladora 08,Linea D,Sellado,7.96
98,2026-04-24,6.54,3794,8,24.16 aprox,661.17,Ajuste  de  calidad,Critica,54.21,1901.08,,Noche,Diana Flores,22:00,06:00,Empaque primario,Empaque,24.0,720.0,Cortadora 03,Linea B,Corte,5.06
99,2026-06-05,9.65,5810,27,32.9,759.16,Mantenimiento correctivo,Alta,55.91,1626.78,,Manana,Ana Torres,06:00,14:00,Etiquetado final,Empaque,24.0,880.0,Etiquetadora 06,Linea C,Etiquetado,2.46
100,2026-03-17,5.77,3132,27,34.11,554.67,mantenimiento correctivo,Media,57.95,1290.15,OK,Tarde,Luis Ramos,14:00,22:00,Preparacion de insumo,Preparacion,45.0,520.0,Llenadora 07,Linea D,Llenado,5.65
101,2026-04-25,8.02,3276,4,45.06,520.12,Falta de insumo,Media,30.42,893.28,,Manana,Ana Torres,06:00,14:00,Preparacion de insumo,Preparacion,45.0,520.0,Cortadora 03,Linea B,Corte,5.06
102,23-06-2026,6.55,3255,20,44.09,561.67,Espera de operador,Critica,"57,84",2633.71,,Noche,Diana Flores,22:00,06:00,Corte de piezas,transformacion,38.0,620.0,Mezcladora 01,Linea A,Mezclado,4.18
103,05/05/2026, 6.24 ,2695,15,36.87,491.35,Espera de operador,Media,36.64,S/ 928.76,,Manana,Ana Torres,06:00,14:00,Corte de piezas,transformacion,38.0,620.0,Llenadora 07,Linea D,Llenado,5.65
104,2026-04-27,6.89,1390,19, 150.36 ,225.33,Mantenimiento correctivo,Baja,35.81,1095.97,Validar causa,Tarde,Luis Ramos,14:00,22:00,Tratamiento termico,Termico,155.0,260.0,Etiquetadora 06,Linea C,Etiquetado,2.46
105,16/01/2026,10.1,1763,16,158.34,255.91,Ajuste de calidad,,24.98,573.99,,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Llenadora 07,Linea D,Llenado,5.65
106,2026-01-22,7.49,1905, 8 ,66.49,362.68,Falla electrica,ALTA,53.97,1567.94,,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Etiquetadora 06,Linea C,Etiquetado,2.46
107,2026-05-26,6.33, 1458 ,8,29.61,246.95,,Alta,35.09,1060.17,,Tarde,Luis Ramos,14:00,22:00,Enfriamiento controlado,Termico,30.0,300.0,Etiquetadora 06,Linea C,Etiquetado,2.46
108,2026-01-22,6.11,2488,13,39.82,481.99,Cambio de formato,Media,45.43,1069.78,Atencion mantenimiento,Manana,Ana Torres,06:00,14:00,Corte de piezas,transformacion,38.0,620.0,Horno 05,linea c,TeRmIcO,10.14
109,2026-05-03,2.92,945,19,50.62,463.51,Limpieza no programada,Baja,34.97,817.84,,Noche,Diana Flores,22:00,06:00,Preparacion de insumo,Preparacion,45.0,520.0,Cortadora 03,Linea B,Corte,5.06
110,2026-05-21,2.92,761,4,69.01,355.64,Falta de insumo,media,41.75,1556.84,Validar causa,Tarde,Luis Ramos,14:00,22:00,Moldeado inicial,Transformacion,70.0,410.0,Cortadora 03,Linea B,Corte,5.06
111,2026-04-07,8.85,4428,33,13.7,703.65,Cambio de formato,baja,48.14,1263.78,OK,Noche,Diana Flores,22:00,06:00,Etiquetado final,Empaque,24.0,880.0,Mezcladora 01,Linea A,Mezclado,4.18
112,2026-01-09,4.51,1286,18,18.69,348.31,Cambio de formato,Baja,"24,97","885,21",OK,Noche,Diana Flores,22:00,06:00,Control de calidad,CaLiDaD,23.0,350.0,Empacadora 04,Linea B,Empaque,3.64
113,2026-02-22,4.55 aprox,774,23,149.51,217.14,Falla electrica,Critica,93.98,2938.37,OK,Manana,Ana Torres,06:00,14:00,Tratamiento termico,Termico,155.0,260.0,Selladora 08,Linea D,Sellado,7.96
114,18/04/2026,11.06,9133,25, 29.02 ,852.13,Cambio de formato,Media,46.04,"1232,46",AtEnCiOn mAnTeNiMiEnTo,Tarde,Luis Ramos,14:00,22:00,Etiquetado final,Empaque,24.0,880.0,Etiquetadora 06,Linea C,Etiquetado,2.46
115,23/05/2026,,483,5,152.78,279.43,Limpieza no programada,Baja,124.94,2583.49,Atencion mantenimiento,Noche,Diana Flores,22:00,06:00,Tratamiento termico,Termico,155.0,260.0,Cortadora 03,Linea B,Corte,5.06
